name,radius,mass,perih_distance,long_perih,long_asc_node,inclination,color,num_moon,m_diameter,m_distance
Neptune,24764,102.413,4444.45,44.97135,131.72169,1.76917,blue,14,60.4,48224	
,,,,,,,,,81.4,50074
,,,,,,,,,156,52526
,,,,,,,,,174.8,61953
,,,,,,,,,194,73548
,,,,,,,,,34.8,105283
,,,,,,,,,420,117646
,,,,,,,,,2705.2,354759
,,,,,,,,,357,5513818
,,,,,,,,,62,16611000
,,,,,,,,,44,22228000
,,,,,,,,,42,23567000
,,,,,,,,,40,48096000
,,,,,,,,,60,49285000
Pluto,1188,0.01303,4436.82,224.06676,110.30347,17.14175,white,5,1212,17536
,,,,,,,,,16,42656
,,,,,,,,,49.8,48694
,,,,,,,,,19,57783
,,,,,,,,,50.9,64738
Ceres,469.73,0.00093835,382.773,153.902,80.305,10.594,white,0,,
Haumea,780,0.004006,5201.069,0.941,122.163,28.214,white,2,170,25657
,,,,,,,,,310,49880
Makemake,715,0.0031,5700.277,14.454,79.620,28.9835,red,1,160,21257
Eris,1163,0.0166,38271,187.29,35.951,44.040,white,1,700,37350










